"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","TC023 - Verify dashboard loads after successful login","chromium","Fri Jan 02 00:46:00 UTC 2026","skipped","Fri Jan 02 00:46:00 UTC 2026","Keycloak Login - Dashboard & Logout Tests","keycloak-dashboard-logout.spec.js","",""
"","7397","TC006 - Login with invalid password","chromium","Fri Jan 02 00:46:08 UTC 2026","passed","Fri Jan 02 00:46:16 UTC 2026","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","87","TC024 - Logout functionality","chromium","Fri Jan 02 00:46:00 UTC 2026","skipped","Fri Jan 02 00:46:00 UTC 2026","Keycloak Login - Dashboard & Logout Tests","keycloak-dashboard-logout.spec.js","",""
"","7101","TC009 - Login with both fields empty","chromium","Fri Jan 02 00:46:30 UTC 2026","passed","Fri Jan 02 00:46:38 UTC 2026","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","11040","TC004 - Complete end-to-end authentication flow","chromium","Fri Jan 02 00:47:07 UTC 2026","skipped","Fri Jan 02 00:47:18 UTC 2026","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
"","4121","TC021 - Login page load time should be under 3 seconds","chromium","Fri Jan 02 00:47:18 UTC 2026","passed","Fri Jan 02 00:47:22 UTC 2026","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","4940","TC022b - Measure time to first contentful paint","chromium","Fri Jan 02 00:47:27 UTC 2026","passed","Fri Jan 02 00:47:32 UTC 2026","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","8886","TC001 - Successful login with valid credentials","chromium","Fri Jan 02 00:46:46 UTC 2026","passed","Fri Jan 02 00:46:55 UTC 2026","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
"","8029","TC010 - Login with special characters in username","chromium","Fri Jan 02 00:46:38 UTC 2026","passed","Fri Jan 02 00:46:46 UTC 2026","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","7308","TC007 - Login with empty username","chromium","Fri Jan 02 00:46:16 UTC 2026","passed","Fri Jan 02 00:46:23 UTC 2026","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","8576","TC022c - Multiple sequential logins performance","chromium","Fri Jan 02 00:47:52 UTC 2026","failed","Fri Jan 02 00:48:00 UTC 2026","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","8181","TC005 - Login with invalid username","chromium","Fri Jan 02 00:46:00 UTC 2026","passed","Fri Jan 02 00:46:08 UTC 2026","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","7303","TC008 - Login with empty password","chromium","Fri Jan 02 00:46:23 UTC 2026","passed","Fri Jan 02 00:46:30 UTC 2026","Keycloak Login - Negative Flow","keycloak-login-negative.spec.js","",""
"","95","TC024b - Session persistence after page refresh","chromium","Fri Jan 02 00:46:00 UTC 2026","skipped","Fri Jan 02 00:46:00 UTC 2026","Keycloak Login - Dashboard & Logout Tests","keycloak-dashboard-logout.spec.js","",""
"","7106","TC003 - Login flow with form validation","chromium","Fri Jan 02 00:46:59 UTC 2026","passed","Fri Jan 02 00:47:07 UTC 2026","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
"","5158","TC022 - Login response time should be under threshold","chromium","Fri Jan 02 00:47:22 UTC 2026","passed","Fri Jan 02 00:47:27 UTC 2026","Keycloak Login - Performance Tests","keycloak-performance.spec.js","",""
"","4951","TC002 - Verify login page accessibility and elements","chromium","Fri Jan 02 00:46:55 UTC 2026","passed","Fri Jan 02 00:46:59 UTC 2026","Keycloak Login - Positive Flow","keycloak-login-positive.spec.js","",""
